MSOA21CD,MSOA21NM,retail_units_2019,total_rateable_value_2019,median_rateable_value_2019,total_floor_area_2019,median_floor_area_2019,vacancy_proxy_2019,retail_units,total_rateable_value,median_rateable_value,total_floor_area,median_floor_area,vacancy_proxy,retail_units_pct_change_2019,total_rateable_value_pct_change_2019,median_rateable_value_pct_change_2019,total_floor_area_pct_change_2019,median_floor_area_pct_change_2019,vacancy_proxy_change_2019
E02000013,Barking and Dagenham 012,44,415200.0,8300.0,3924.32,69.155,0.0454545454545454,42.333333333333336,442133.3333333333,8783.333333333334,3816.4266666666667,68.76833333333333,0.11821173406539258,-0.03787878787878788,0.06486833654463713,0.05823293172690763,-0.02749351055299604,-0.005591304557395275,0.07275718861084716
E02000014,Barking and Dagenham 013,130,2258920.0,10875.0,15115.07,67.465,0.0153846153846153,128.33333333333334,2244823.3333333335,12000.0,15266.966666666667,69.28833333333334,0.10629163778770073,-0.012820512820512822,-0.00624044528653811,0.10344827586206896,0.01004935251154423,0.027026359346821804,0.09090702240308542
E02000015,Barking and Dagenham 014,82,1542395.0,12000.0,14333.2,90.065,0.0853658536585365,81.33333333333333,1399045.0,12433.333333333334,14229.019999999999,89.70666666666666,0.15144359011665862,-0.008130081300813009,-0.0929398759721083,0.036111111111111115,-0.0072684397064159785,-0.00397860804233975,0.06607773645812211
E02000016,Barking and Dagenham 015,276,9651901.0,17875.0,61079.2,101.19,0.072463768115942,317.0,9521507.666666666,17416.666666666668,74181.21,98.37,0.16281638109959026,0.14855072463768115,-0.01350960120015045,-0.025641025641025644,0.21450853973202008,-0.02786836643937146,0.09035261298364827
E02000017,Barking and Dagenham 016,91,1310975.0,13125.0,8438.99,80.2,0.1208791208791208,91.0,1437391.6666666667,14541.666666666666,8837.323333333334,80.75666666666666,0.17838629704755463,-2.3129646346357427e-18,0.09642950221527236,0.10793650793650794,0.047201541100692544,0.006940980881130395,0.057507176168433836
E02000018,Barking and Dagenham 017,53,929800.0,8500.0,9664.98,70.33,0.0566037735849056,48.333333333333336,945900.0,9000.0,8719.616666666667,70.005,0.07359098228663442,-0.0880503144654088,0.017315551731555173,0.0588235294117647,-0.09781327362636372,-0.004621072088724557,0.016987208701728835
E02000019,Barking and Dagenham 018,28,4710510.0,77750.0,24867.97,312.77,0.1428571428571428,29.0,4290291.666666667,44916.666666666664,24958.460000000003,250.39499999999998,0.3562448304383788,0.03571428571428571,-0.08920867025721914,-0.42229367631296894,0.003638817322041131,-0.19942769447197617,0.21338768758123602
E02000020,Barking and Dagenham 019,82,934550.0,9250.0,8215.3,66.47,0.0975609756097561,85.0,1001441.6666666666,10175.0,8614.503333333332,69.02,0.10245098039215683,0.036585365853658534,0.07157633798797995,0.10000000000000002,0.04859266652871275,0.03836317135549868,0.004890004782400735
E02000021,Barking and Dagenham 020,68,760425.0,7700.0,6770.24,80.19,0.0441176470588235,67.33333333333333,894741.6666666666,9300.0,6723.419999999999,79.09,0.12395382395382389,-0.00980392156862745,0.17663368072678653,0.20779220779220778,-0.006915559861984212,-0.013717421124828462,0.0798361768950004
E02000022,Barking and Dagenham 021,24,1341725.0,11700.0,10749.82,102.35,0.1666666666666666,19.666666666666668,1470375.0,15500.0,9394.503333333334,90.94166666666666,0.3532509157509158,-0.18055555555555558,0.09588402988689933,0.3247863247863248,-0.12607808006707708,-0.11146393095587032,0.18658424908424912
