origin_msoa,origin_msoa_name,origin_lad_name_guess,commuters_to_selected_workplaces,od_weighted_msoa_exposure_sum,linked_workplace_msoas,linked_workplace_lads,msoa_exposure_per_1000
E02000015,Barking and Dagenham 014,Barking and Dagenham,214,252.60870573515336,22,8,0.25260870573515337
E02000442,Harrow 010,Harrow,227,252.23432111038494,25,8,0.25223432111038496
E02000843,Sutton 004,Sutton,224,251.2252740163916,22,8,0.2512252740163916
E02000031,Barnet 008,Barnet,217,251.14627711401607,22,8,0.25114627711401605
E02000255,Ealing 018,Ealing,220,250.733438060156,21,8,0.250733438060156
E02000897,Waltham Forest 003,Waltham Forest,210,249.03441787734732,22,8,0.2490344178773473
E02000268,Ealing 031,Ealing,234,248.80694859721964,23,8,0.24880694859721963
E02000276,Ealing 039,Ealing,225,248.4794569475824,22,7,0.24847945694758242
E02000706,Merton 018,Merton,222,248.21497312938968,23,8,0.24821497312938967
E02006783,Lewisham 037,Lewisham,215,248.0403576110221,22,8,0.2480403576110221
E02000677,Lewisham 025,Lewisham,210,246.31077860549,22,8,0.24631077860549
E02000313,Greenwich 001,Greenwich,212,246.0190651451102,24,8,0.2460190651451102
E02000141,Bromley 015,Bromley,217,245.47706954875426,23,8,0.24547706954875426
E02000161,Bromley 035,Bromley,200,245.42071674173226,20,8,0.24542071674173227
E02000279,Enfield 003,Enfield,214,245.05681158603844,24,8,0.24505681158603843
E02006969,Ealing 042,Ealing,227,244.5744554124226,24,8,0.2445744554124226
E02000533,Hounslow 008,Hounslow,227,244.1114826829041,19,8,0.24411148268290409
E02000851,Sutton 012,Sutton,219,244.0947397788828,22,8,0.2440947397788828
E02000069,Bexley 005,Bexley,206,243.34612706657097,22,8,0.24334612706657097
E02000578,Kensington and Chelsea 002,Kensington and Chelsea,227,242.5183080436552,24,8,0.2425183080436552
E02000537,Hounslow 012,Hounslow,223,242.4794643142858,21,8,0.2424794643142858
E02000151,Bromley 025,Bromley,200,242.4682923292509,20,8,0.24246829232925088
E02000715,Newham 002,Newham,211,241.98341025800266,21,8,0.24198341025800266
E02000490,Havering 027,Havering,199,241.73441994614507,22,8,0.24173441994614506
E02000037,Barnet 014,Barnet,214,241.55273668546238,23,8,0.24155273668546237
E02000068,Bexley 004,Bexley,209,241.48362617813694,20,8,0.24148362617813696
E02000070,Bexley 006,Bexley,211,241.33124263065866,21,8,0.24133124263065867
E02000140,Bromley 014,Bromley,207,241.27301292781436,21,8,0.24127301292781436
E02000474,Havering 011,Havering,200,241.1859677136573,22,8,0.2411859677136573
E02000088,Bexley 024,Bexley,205,241.02415126043903,21,8,0.24102415126043902
E02000762,Redbridge 012,Redbridge,206,240.95698732810868,24,8,0.2409569873281087
E02006793,Enfield 037,Enfield,208,240.74569309925923,21,8,0.24074569309925922
E02000788,Richmond upon Thames 005,Richmond upon Thames,211,240.58399865543026,21,8,0.24058399865543026
E02000208,Croydon 015,Croydon,216,240.16232817041288,26,8,0.2401623281704129
E02000532,Hounslow 007,Hounslow,217,239.89817510910962,21,8,0.23989817510910963
E02000258,Ealing 021,Ealing,219,239.678167136736,23,8,0.23967816713673598
E02000483,Havering 020,Havering,200,239.461130594989,21,8,0.239461130594989
E02000025,Barnet 002,Barnet,216,239.35701339064013,23,8,0.23935701339064014
E02000204,Croydon 011,Croydon,208,239.30918778131777,21,8,0.23930918778131777
E02000347,Hackney 003,Hackney,208,239.10561568052384,20,8,0.23910561568052385
E02007020,Redbridge 040,Redbridge,208,239.07148017188968,25,8,0.23907148017188967
E02000343,Greenwich 031,Greenwich,205,238.96672778183523,23,8,0.23896672778183523
E02000342,Greenwich 030,Greenwich,203,238.70359020661536,24,8,0.23870359020661536
E02000230,Croydon 037,Croydon,209,238.17262143760667,23,8,0.23817262143760667
E02000301,Enfield 025,Enfield,212,237.61597581976466,22,8,0.23761597581976465
E02000702,Merton 014,Merton,222,237.43091002860632,21,8,0.2374309100286063
E02000703,Merton 015,Merton,206,236.59213022102895,22,8,0.23659213022102896
E02000297,Enfield 021,Enfield,202,235.83662312170878,23,8,0.23583662312170878
E02000041,Barnet 018,Barnet,216,235.75696635739473,22,8,0.23575696635739474
E02000032,Barnet 009,Barnet,200,235.60963278648492,22,8,0.23560963278648492
E02000439,Harrow 007,Harrow,210,235.37896077650197,22,8,0.23537896077650197
E02000329,Greenwich 017,Greenwich,200,234.36685435746566,24,8,0.23436685435746565
E02000098,Brent 006,Brent,212,233.16352702592084,22,8,0.23316352702592083
E02000899,Waltham Forest 005,Waltham Forest,205,232.9209361249476,25,8,0.23292093612494758
E02000104,Brent 012,Brent,218,232.4596478180635,24,8,0.2324596478180635
E02000207,Croydon 014,Croydon,205,231.52829530817877,22,8,0.23152829530817878
E02000078,Bexley 014,Bexley,200,231.39319552864492,22,8,0.23139319552864493
E02000495,Hillingdon 002,Hillingdon,209,231.15458251249564,24,8,0.23115458251249563
E02000898,Waltham Forest 004,Waltham Forest,195,230.95851812817767,25,8,0.23095851812817766
E02000433,Harrow 001,Harrow,203,230.6336916617675,22,8,0.2306336916617675
E02000405,Haringey 009,Haringey,201,229.99526690034844,24,8,0.22999526690034844
E02000222,Croydon 029,Croydon,205,229.8224022985461,22,8,0.2298224022985461
E02000488,Havering 025,Havering,195,229.79612604113797,21,8,0.22979612604113797
E02000484,Havering 021,Havering,197,229.6764683990673,21,7,0.2296764683990673
E02000542,Hounslow 017,Hounslow,202,229.45284384473268,23,8,0.2294528438447327
E02000298,Enfield 022,Enfield,195,228.91494701169026,23,8,0.22891494701169027
E02000299,Enfield 023,Enfield,201,228.61753877832774,23,8,0.22861753877832774
E02000271,Ealing 034,Ealing,202,227.4826519641222,19,8,0.2274826519641222
E02006784,Lewisham 038,Lewisham,199,227.3515870601092,21,8,0.22735158706010922
