clean_name,2019_Midweek,2019_Friday,2023_Monday,2023_Midweek,2023_Friday,2024_Monday,2024_Midweek,2024_Friday,2025_Monday,2025_Midweek,2025_Friday,raw_ratio_19_mon,raw_ratio_19_fri,raw_ratio_23_mon,raw_ratio_23_fri,collapse_23_mon,collapse_23_fri,total_collapse_23,raw_ratio_24_mon,raw_ratio_24_fri,collapse_24_mon,collapse_24_fri,total_collapse_24,raw_ratio_25_mon,raw_ratio_25_fri,collapse_25_mon,collapse_25_fri,total_collapse_25,cumulative_collapse_score,shock_rank,top100_affected,geometry
Leicester Square,93568,122600,60084.0,80100.0,97439.0,61874.0,77284.0,85456.0,63199.0,80668.0,87430.0,1.0,1.3102770177838576,0.7501123595505618,1.2164669163545567,0.24988764044943823,0.07159562455576529,0.3214832650052035,0.8006055587184928,1.1057398685368252,0.19939444128150718,0.15610221844001904,0.3554966597215262,0.7834457281697823,1.0838250607427977,0.2165542718302177,0.17282754254826993,0.3893818143784876,1.0663617391052174,21,True,POINT Z (-0.128306746943324 51.5114061801348 0)
Aldgate,35391,32184,21430.0,27263.0,20652.0,22498.0,28214.0,22625.0,21917.0,26970.0,20681.0,1.0,0.9093837416292277,0.7860470234383596,0.7575101786303782,0.21395297656164036,0.16700712366679982,0.3809601002284402,0.7974055433472744,0.8019068547529595,0.20259445665272557,0.11818650582395007,0.32078096247667565,0.8126436781609195,0.7668149796069708,0.18735632183908046,0.15677513847656277,0.34413146031564323,1.045872523020759,22,True,POINT Z (-0.075822667815969 51.5144938991707 0)
Tottenham Court Road,132723,144037,153658.0,199836.0,196157.0,152005.0,201453.0,188592.0,159698.0,201763.0,191264.0,1.0,1.0852452099485395,0.7689205148221542,0.9815899037210513,0.23107948517784582,0.09551325845741665,0.3265927436352625,0.7545432433371556,0.9361588062724308,0.2454567566628444,0.13737577674558743,0.3828325334084318,0.7915128145398314,0.9479636999846355,0.20848718546016864,0.1264981487183101,0.33498533417847876,1.044410611222173,23,True,POINT Z (-0.130478416245152 51.5164588799847 0)
London Bridge,239224,250176,142236.0,179693.0,176270.0,145779.0,191459.0,169767.0,149457.0,193084.0,170635.0,1.0,1.045781359729793,0.7915500325555253,0.9809508439393855,0.20844996744447475,0.06199241857510085,0.2704423860195756,0.7614110592868447,0.8867015914634465,0.23858894071315528,0.15211570447904055,0.39070464519219583,0.7740517080648837,0.8837345404072838,0.22594829193511634,0.15495286640448291,0.38090115833959926,1.0420481895513707,24,True,POINT Z (-0.089622674026004 51.5050664437801 0)
Bond Street,120419,121335,109905.0,130852.0,118669.0,111238.0,143282.0,119537.0,120293.0,152003.0,126618.0,1.0,1.007606773017547,0.8399183810717452,0.9068948124598784,0.1600816189282548,0.09995165103551251,0.2600332699637673,0.7763571139431331,0.8342778576513449,0.22364288605686689,0.17202039526503232,0.3956632813218992,0.7913856963349407,0.8329967171700559,0.2086143036650593,0.173291863972465,0.3819061676375243,1.037602718923191,25,True,POINT Z (-0.149656033847428 51.514381142575 0)
Temple,32152,30402,23530.0,29078.0,23525.0,26654.0,32113.0,25629.0,28003.0,33990.0,26214.0,1.0,0.9455710375715352,0.8092028337574799,0.809030882454089,0.19079716624252008,0.14439967986764446,0.33519684611016454,0.8300065394077165,0.7980880017438421,0.16999346059228349,0.15597245470469012,0.3259659152969736,0.8238599588114152,0.7712268314210062,0.17614004118858484,0.18437980778079754,0.3605198489693824,1.0216826103765206,26,True,POINT Z (-0.114226122796381 51.5109859451486 0)
Gunnersbury,20106,18439,12963.0,15716.0,12086.0,12205.0,14478.0,11028.0,12448.0,15005.0,11369.0,1.0,0.9170894260419775,0.8248282005599389,0.769025197251209,0.17517179944006112,0.16145015369961446,0.3366219531396756,0.8430031772344246,0.7617074181516784,0.15699682276557536,0.16942950543100788,0.32642632819658324,0.8295901366211262,0.7576807730756414,0.17040986337887376,0.1738201842041951,0.34423004758306885,1.0072783289193277,27,True,POINT Z (-0.275113608793886 51.4917426132631 0)
Canary Wharf,168710,159240,96499.0,115514.0,91121.0,98735.0,119308.0,93202.0,103212.0,122189.0,95802.0,1.0,0.9438681761602751,0.8353879183475597,0.7888307910729435,0.16461208165244035,0.16425745565237193,0.3288695373048123,0.8275639521239145,0.7811881852013277,0.17243604787608546,0.17235456716078879,0.34479061503687425,0.8446914206679815,0.784047663864996,0.15530857933201847,0.16932503535127186,0.32463361468329033,0.9982937670249769,28,True,POINT Z (-0.017726664743273 51.5034310127041 0)
Barbican,38423,34610,17118.0,20711.0,16031.0,17329.0,20514.0,15798.0,17278.0,21339.0,15658.0,1.0,0.9007625640892174,0.8265173096422191,0.7740331224952923,0.17348269035778086,0.14069128385909802,0.31417397421687887,0.8447401774397972,0.7701082187774203,0.15525982256020276,0.1450485960680491,0.30030841862825186,0.809691175781433,0.7337738413233985,0.19030882421856699,0.18538594899829697,0.37569477321686395,0.9901771660619947,29,True,POINT Z (-0.098773979194686 51.5202103844398 0)
White City,32768,31715,23820.0,29340.0,23987.0,25079.0,29309.0,23385.0,25315.0,29553.0,23386.0,1.0,0.967864990234375,0.8118609406952966,0.8175528289025221,0.18813905930470343,0.1553028189349568,0.3434418782396602,0.8556757310041284,0.7978777849807226,0.14432426899587159,0.17563111277791843,0.31995538177379,0.8565966230162758,0.7913240618549724,0.14340337698372418,0.18240243232338849,0.32580580930711267,0.9892030693205629,30,True,POINT Z (-0.224438284364719 51.5122166736237 0)
Chalk Farm,16770,18647,11674.0,14045.0,15702.0,11743.0,15952.0,14910.0,11427.0,15835.0,15491.0,1.0,1.1119260584376864,0.8311854752580989,1.1179779280882876,0.16881452474190106,-0.005442690729907218,0.16337183401199384,0.7361459378134403,0.934679037111334,0.2638540621865597,0.15940540288748484,0.42325946507404455,0.721629302178718,0.9782759709504263,0.278370697821282,0.1201969199957823,0.3985676178170643,0.9851989169031027,31,True,POINT Z (-0.152616492596534 51.5438606020943 0)
Amersham,8184,7597,5519.0,6610.0,5472.0,5494.0,7006.0,5477.0,6291.0,7578.0,5969.0,1.0,0.9282746823069403,0.8349470499243571,0.8278366111951588,0.1650529500756429,0.10819865393955774,0.27325160401520066,0.7841849842991722,0.7817584927205252,0.21581501570082784,0.15783710617022784,0.3736521218710557,0.830166270783848,0.7876748482449195,0.16983372921615203,0.1514636095779358,0.32129733879408784,0.9682010646803442,32,True,POINT Z (-0.607682857863921 51.6741494619535 0)
Kew Gardens,11810,13090,10148.0,14205.0,10690.0,8893.0,10183.0,11137.0,9593.0,10789.0,10654.0,1.0,1.1083827265029635,0.7143963393171419,0.7525519183386131,0.28560366068285814,0.3210360461742535,0.6066397068571117,0.8733182755573013,1.0936855543552981,0.12668172444269865,0.013260015512905121,0.13994173995560377,0.8891463527667068,0.9874872555380481,0.11085364723329316,0.10907375951838438,0.21992740675167755,0.966508853564393,33,True,POINT Z (-0.285018368341176 51.4769978542773 0)
Warren Street,64520,63413,46267.0,54940.0,46398.0,46790.0,55396.0,46138.0,46134.0,55035.0,43873.0,1.0,0.9828425294482331,0.8421368765926466,0.8445212959592282,0.15786312340735342,0.14073590564569727,0.2985990290530507,0.8446458228030905,0.8328760199292368,0.15535417719690947,0.15258447312326562,0.3079386503201751,0.8382665576451349,0.7971836104297265,0.1617334423548651,0.18889996459833236,0.35063340695319745,0.9571710863264232,34,True,POINT Z (-0.138316275529769 51.5245289307367 0)
Piccadilly Circus,111832,139151,68110.0,83733.0,88341.0,68486.0,83022.0,92256.0,64829.0,76172.0,77907.0,1.0,1.2442860719650906,0.813418843227879,1.0550320662104546,0.18658115677212095,0.15209846836567786,0.3386796251377988,0.8249138782491388,1.1112235311122354,0.17508612175086125,0.10693886546741671,0.28202498721827796,0.8510870136007982,1.0227773985191408,0.1489129863992018,0.17802069671657006,0.32693368311577187,0.9476382954718486,35,True,POINT Z (-0.133662111522037 51.5100620986633 0)
Great Portland Street,29448,26309,17650.0,21472.0,16497.0,18086.0,22582.0,17791.0,18427.0,22483.0,17473.0,1.0,0.8934053246400435,0.8220007451564829,0.7683029061102832,0.17799925484351709,0.1400287362067879,0.318027991050305,0.8009033743689664,0.7878398724647949,0.19909662563103359,0.11816076003104337,0.31725738566207695,0.8195970288662545,0.7771649690877552,0.18040297113374548,0.13010931583502927,0.31051228696877475,0.9457976636811567,36,True,POINT Z (-0.144265574194803 51.5238482366569 0)
Borough,18760,19147,11447.0,14707.0,13109.0,11675.0,14141.0,12830.0,11481.0,13725.0,11999.0,1.0,1.0206289978678038,0.7783368463996736,0.8913442578364045,0.2216631536003264,0.12667163122102953,0.34833478482135594,0.8256134643943144,0.9072908563750796,0.17438653560568562,0.11104734602828159,0.2854338816339672,0.8365027322404371,0.8742440801457195,0.16349726775956286,0.14342617937359903,0.3069234471331619,0.940692113588485,37,True,POINT Z (-0.093287238298321 51.501192719769 0)
South Kenton,4689,5048,1813.0,3137.0,3015.0,3202.0,3414.0,3087.0,2983.0,3130.0,2913.0,1.0,1.0765621667732992,0.5779407076824992,0.9611093401338858,0.42205929231750083,0.10724213631382906,0.5293014286313299,0.9379027533684827,0.9042179261862917,0.06209724663151728,0.16008758797790767,0.22218483460942495,0.953035143769968,0.9306709265175719,0.04696485623003199,0.135515852923753,0.182480709153785,0.9339669723945399,38,True,POINT Z (-0.308350944844092 51.5702149819473 0)
