MSOA21CD,MSOA21NM,year,retail_units,total_rateable_value,total_floor_area,retail_vacancy_proxy,occupation_classification_completeness,occupation_classified_records,station_count,top100_station_count,mean_station_shock,weighted_shock_numerator,baseline_station_volume,study_submarket,workplace_msoa_station_shock,high_affected_group,comparison_label
E02000575,Islington 022,2019,542.0,20693899.0,57849.43000000001,0.0625,1.0,448.0,2,1,0.8915349858039401,152008.77938036015,156811,Tech Belt & Midtown,0.9693757413724812,1,Top-100 affected
E02000575,Islington 022,2023,605.0,22001569.0,69167.86,0.07360861759425494,1.0,557.0,2,1,0.8915349858039401,152008.77938036015,156811,Tech Belt & Midtown,0.9693757413724812,1,Top-100 affected
E02000575,Islington 022,2024,546.0,21121322.0,60322.61,0.07063197026022305,1.0,538.0,2,1,0.8915349858039401,152008.77938036015,156811,Tech Belt & Midtown,0.9693757413724812,1,Top-100 affected
E02000575,Islington 022,2025,558.0,21340472.0,63629.95,0.07832422586520947,1.0,549.0,2,1,0.8915349858039401,152008.77938036015,156811,Tech Belt & Midtown,0.9693757413724812,1,Top-100 affected
E02000576,Islington 023,2019,349.0,14963555.0,53539.16,0.04905660377358491,1.0,265.0,1,1,1.2959670993184824,120487.35719073864,92971,Tech Belt & Midtown,1.2959670993184824,1,Top-100 affected
E02000576,Islington 023,2023,383.0,14397290.0,61656.81,0.0963855421686747,1.0,332.0,1,1,1.2959670993184824,120487.35719073864,92971,Tech Belt & Midtown,1.2959670993184824,1,Top-100 affected
E02000576,Islington 023,2024,313.0,14158890.0,51921.16,0.11290322580645161,1.0,310.0,1,1,1.2959670993184824,120487.35719073864,92971,Tech Belt & Midtown,1.2959670993184824,1,Top-100 affected
E02000576,Islington 023,2025,320.0,13964490.0,52876.4,0.12063492063492064,1.0,315.0,1,1,1.2959670993184824,120487.35719073864,92971,Tech Belt & Midtown,1.2959670993184824,1,Top-100 affected
E02000577,Kensington and Chelsea 001,2019,178.0,3755130.0,13197.14,0.07954545454545454,1.0,176.0,1,0,0.46903430930761447,6521.922070922379,13905,West End,0.46903430930761447,0,Less-affected comparison
E02000577,Kensington and Chelsea 001,2023,198.0,6301855.0,31540.250000000004,0.09743589743589744,1.0,195.0,1,0,0.46903430930761447,6521.922070922379,13905,West End,0.46903430930761447,0,Less-affected comparison
E02000577,Kensington and Chelsea 001,2024,176.0,5943040.0,22118.309999999998,0.08571428571428572,1.0,175.0,1,0,0.46903430930761447,6521.922070922379,13905,West End,0.46903430930761447,0,Less-affected comparison
E02000577,Kensington and Chelsea 001,2025,183.0,5963360.0,31143.21,0.11538461538461539,1.0,182.0,1,0,0.46903430930761447,6521.922070922379,13905,West End,0.46903430930761447,0,Less-affected comparison
E02000582,Kensington and Chelsea 006,2019,275.0,17427450.0,27883.75,0.05474452554744526,1.0,274.0,1,0,0.49853611802660414,22361.339037965303,44854,West End,0.49853611802660414,0,Less-affected comparison
E02000582,Kensington and Chelsea 006,2023,392.0,16908000.0,30831.940000000002,0.20876288659793815,1.0,388.0,1,0,0.49853611802660414,22361.339037965303,44854,West End,0.49853611802660414,0,Less-affected comparison
E02000582,Kensington and Chelsea 006,2024,317.0,16338675.0,25613.58,0.17665615141955837,1.0,317.0,1,0,0.49853611802660414,22361.339037965303,44854,West End,0.49853611802660414,0,Less-affected comparison
E02000582,Kensington and Chelsea 006,2025,335.0,16337875.0,26126.33,0.16417910447761194,1.0,335.0,1,0,0.49853611802660414,22361.339037965303,44854,West End,0.49853611802660414,0,Less-affected comparison
E02000588,Kensington and Chelsea 012,2019,473.0,150312650.0,283289.97000000003,0.06223175965665236,1.0,466.0,1,1,0.7264594836856804,34342.64563175685,47274,West End,0.7264594836856804,1,Top-100 affected
E02000588,Kensington and Chelsea 012,2023,530.0,148010450.0,298887.45,0.1362763915547025,1.0,521.0,1,1,0.7264594836856804,34342.64563175685,47274,West End,0.7264594836856804,1,Top-100 affected
E02000588,Kensington and Chelsea 012,2024,447.0,99722000.0,274859.05000000005,0.13288288288288289,1.0,444.0,1,1,0.7264594836856804,34342.64563175685,47274,West End,0.7264594836856804,1,Top-100 affected
E02000588,Kensington and Chelsea 012,2025,467.0,102934000.0,282709.95000000007,0.1447084233261339,1.0,463.0,1,1,0.7264594836856804,34342.64563175685,47274,West End,0.7264594836856804,1,Top-100 affected
E02000590,Kensington and Chelsea 014,2019,310.0,33659850.0,50756.420000000006,0.06451612903225806,1.0,310.0,1,0,0.36005434306188666,36420.21690939596,101152,West End,0.36005434306188666,0,Less-affected comparison
E02000590,Kensington and Chelsea 014,2023,337.0,32321850.0,55228.79,0.14285714285714285,1.0,336.0,1,0,0.36005434306188666,36420.21690939596,101152,West End,0.36005434306188666,0,Less-affected comparison
E02000590,Kensington and Chelsea 014,2024,297.0,24426150.0,47670.13999999999,0.11447811447811448,1.0,297.0,1,0,0.36005434306188666,36420.21690939596,101152,West End,0.36005434306188666,0,Less-affected comparison
E02000590,Kensington and Chelsea 014,2025,301.0,23577650.0,48501.61,0.11627906976744186,1.0,301.0,1,0,0.36005434306188666,36420.21690939596,101152,West End,0.36005434306188666,0,Less-affected comparison
E02000592,Kensington and Chelsea 016,2019,191.0,17018450.0,35473.34999999999,0.047872340425531915,1.0,188.0,1,0,0.45486870533001234,19939.62456684642,43836,West End,0.45486870533001234,0,Less-affected comparison
E02000592,Kensington and Chelsea 016,2023,201.0,16402400.0,43651.58,0.09090909090909091,1.0,198.0,1,0,0.45486870533001234,19939.62456684642,43836,West End,0.45486870533001234,0,Less-affected comparison
E02000592,Kensington and Chelsea 016,2024,184.0,14320075.0,34412.36,0.09340659340659341,1.0,182.0,1,0,0.45486870533001234,19939.62456684642,43836,West End,0.45486870533001234,0,Less-affected comparison
E02000592,Kensington and Chelsea 016,2025,184.0,14179325.0,34414.55,0.10989010989010989,1.0,182.0,1,0,0.45486870533001234,19939.62456684642,43836,West End,0.45486870533001234,0,Less-affected comparison
E02000594,Kensington and Chelsea 018,2019,204.0,31473025.0,38791.15000000001,0.0297029702970297,1.0,202.0,1,1,0.814758575763068,46078.67125228031,56555,West End,0.8147585757630679,1,Top-100 affected
E02000594,Kensington and Chelsea 018,2023,219.0,30810100.0,42054.78,0.11059907834101383,1.0,217.0,1,1,0.814758575763068,46078.67125228031,56555,West End,0.8147585757630679,1,Top-100 affected
E02000594,Kensington and Chelsea 018,2024,192.0,25503260.0,36010.57,0.06282722513089005,1.0,191.0,1,1,0.814758575763068,46078.67125228031,56555,West End,0.8147585757630679,1,Top-100 affected
E02000594,Kensington and Chelsea 018,2025,201.0,25312760.0,37391.509999999995,0.075,1.0,200.0,1,1,0.814758575763068,46078.67125228031,56555,West End,0.8147585757630679,1,Top-100 affected
E02000621,Lambeth 004,2019,194.0,8085825.0,44029.42,0.02631578947368421,1.0,114.0,1,1,0.7688644335428899,80661.56772298458,104910,West End,0.7688644335428899,1,Top-100 affected
E02000621,Lambeth 004,2023,196.0,7273375.0,34931.94,0.06,1.0,100.0,1,1,0.7688644335428899,80661.56772298458,104910,West End,0.7688644335428899,1,Top-100 affected
E02000621,Lambeth 004,2024,182.0,7348550.0,33113.7,0.023529411764705882,1.0,85.0,1,1,0.7688644335428899,80661.56772298458,104910,West End,0.7688644335428899,1,Top-100 affected
E02000621,Lambeth 004,2025,190.0,7598150.0,34320.15000000001,0.02857142857142857,1.0,70.0,1,1,0.7688644335428899,80661.56772298458,104910,West End,0.7688644335428899,1,Top-100 affected
E02000747,Newham 034,2019,71.0,2087100.0,16095.679999999998,0.0,1.0,10.0,1,0,0.2137491748655419,9916.892967886817,46395,Canary Wharf,0.2137491748655419,0,Less-affected comparison
E02000747,Newham 034,2023,88.0,3290675.0,23890.94,0.0,1.0,11.0,1,0,0.2137491748655419,9916.892967886817,46395,Canary Wharf,0.2137491748655419,0,Less-affected comparison
E02000747,Newham 034,2024,78.0,3526860.0,18158.28,0.14285714285714285,1.0,7.0,1,0,0.2137491748655419,9916.892967886817,46395,Canary Wharf,0.2137491748655419,0,Less-affected comparison
E02000747,Newham 034,2025,100.0,4541610.0,22222.170000000002,,,0.0,1,0,0.2137491748655419,9916.892967886817,46395,Canary Wharf,0.2137491748655419,0,Less-affected comparison
E02000808,Southwark 002,2019,540.0,24796280.0,66563.13,0.04339250493096647,1.0,507.0,2,2,0.9913701515699278,266930.3201481571,257984,Southbank,1.0346778100508445,1,Top-100 affected
E02000808,Southwark 002,2023,634.0,26544935.0,78757.85999999999,0.02895752895752896,1.0,518.0,2,2,0.9913701515699278,266930.3201481571,257984,Southbank,1.0346778100508445,1,Top-100 affected
E02000808,Southwark 002,2024,534.0,29867560.0,66824.04000000001,0.00954653937947494,1.0,419.0,2,2,0.9913701515699278,266930.3201481571,257984,Southbank,1.0346778100508445,1,Top-100 affected
E02000808,Southwark 002,2025,559.0,30219085.0,69464.88,0.009523809523809525,1.0,420.0,2,2,0.9913701515699278,266930.3201481571,257984,Southbank,1.0346778100508445,1,Top-100 affected
E02000810,Southwark 004,2019,100.0,1607525.0,12458.519999999997,0.022222222222222223,1.0,90.0,1,0,0.4396460438086037,13217.079015018055,30063,Southbank,0.4396460438086037,0,Less-affected comparison
E02000810,Southwark 004,2023,105.0,1662775.0,13219.78,0.011764705882352941,1.0,85.0,1,0,0.4396460438086037,13217.079015018055,30063,Southbank,0.4396460438086037,0,Less-affected comparison
E02000810,Southwark 004,2024,95.0,2269950.0,11774.669999999998,0.013333333333333334,1.0,75.0,1,0,0.4396460438086037,13217.079015018055,30063,Southbank,0.4396460438086037,0,Less-affected comparison
E02000810,Southwark 004,2025,95.0,2269950.0,11774.669999999998,0.013333333333333334,1.0,75.0,1,0,0.4396460438086037,13217.079015018055,30063,Southbank,0.4396460438086037,0,Less-affected comparison
E02000871,Tower Hamlets 008,2019,46.0,618100.0,3629.1499999999996,0.3448275862068966,1.0,29.0,1,0,0.4274262528297138,6054.065445080067,14164,Canary Wharf,0.4274262528297138,0,Less-affected comparison
E02000871,Tower Hamlets 008,2023,43.0,559700.0,3832.6899999999996,0.22580645161290322,1.0,31.0,1,0,0.4274262528297138,6054.065445080067,14164,Canary Wharf,0.4274262528297138,0,Less-affected comparison
